,SVL,awesomeness,hostility,attitude,ecomorph,island,,,,
ahli,4.039125443,-0.241651698,-0.173476906,0.644377078,TG,Cuba,,,,
alayoni,3.815704818,-0.259032167,0.127344278,0.295973248,TW,Cuba,,,,
alfaroi,3.526654599,-0.462062012,0.178370302,-0.019589154,GB,Cuba,,,,
aliniger,4.036556538,0.006869282,0.144815367,0.293764324,TC,Hispaniola,,,,
allisoni,4.375390078,-0.13230987,0.464556617,-0.54956842,TC,Cuba,,,,
allogus,4.040138442,0.624468879,-0.500096224,0.712891039,TG,Cuba,,,,
altitudinalis,3.842994419,1.164592168,-0.86546226,0.63326685,TC,Cuba,,,,
alumina,3.588940722,-1.253724344,1.308419442,-0.961108949,GB,Hispaniola,,,,
alutaceus,3.554890814,0.325807029,-0.523648505,0.504051566,GB,Cuba,,,,
angusticeps,3.788595498,1.71321729,-1.884387903,0.924717522,TW,Cuba,,,,
argenteolus,3.971307363,0.490363636,-0.505416684,-0.202546511,U,Cuba,,,,
argillaceus,3.757868992,0.007554828,-0.259421287,-0.625599119,U,Cuba,,,,
armouri,4.121684075,-0.158605136,-0.369246555,-0.26866597,TG,Hispaniola,,,,
bahorucoensis,3.827445029,2.553879072,-2.337986521,2.470751171,GB,Hispaniola,,,,
baleatus,5.05305601,2.727286255,-2.487661729,2.784776159,CG,Hispaniola,,,,
baracoae,5.042779747,1.821981086,-1.522244645,2.175915113,CG,Cuba,,,,
barahonae,5.076957937,1.8313709,-1.331616706,1.706268537,CG,Hispaniola,,,,
barbatus,5.003946306,2.15628754,-2.094147109,1.971965978,U,Cuba,,,,
barbouri,3.663931948,1.788945648,-0.913725183,0.640252721,U,Hispaniola,,,,
bartschi,4.280547466,-1.189744988,1.025075387,0.259946248,U,Cuba,,,,
bremeri,4.113370744,-1.754300558,1.412718374,0.183234499,TG,Cuba,,,,
breslini,4.051110808,-1.944082859,2.147925602,-2.074650462,TG,Hispaniola,,,,
brevirostris,3.874154977,-1.538338585,1.63353366,-1.242478949,T,Hispaniola,,,,
caudalis,3.911742966,-0.601304152,0.21650095,0.851820031,T,Hispaniola,,,,
centralis,3.697941213,-0.620236225,0.330225203,-0.717773581,U,Cuba,,,,
chamaeleonides,5.04234927,-1.19399376,1.858148718,-1.433087428,U,Cuba,,,,
chlorocyanus,4.275448057,-1.065610146,0.920097708,-0.937217348,TC,Hispaniola,,,,
christophei,3.884651809,-0.266699615,0.220410336,1.465474826,U,Hispaniola,,,,
clivicola,3.758726128,0.340444764,-0.599034616,1.789691465,GB,Cuba,,,,
coelestinus,4.297965447,0.290926638,-0.620965953,1.280333497,TC,Hispaniola,,,,
confusus,3.938442349,0.496114209,-0.544543392,1.360106311,TG,Cuba,,,,
cooki,4.091535064,1.277956446,-1.082760383,1.377218698,TG,Puerto Rico,,,,
cristatellus,4.189820018,0.830658098,-0.007447027,0.390612322,TG,Puerto Rico,,,,
cupeyalensis,3.462013706,1.327984163,-0.994951781,0.04668455,GB,Cuba,,,,
cuvieri,4.875011919,-0.11591712,0.281153377,-0.978766627,CG,Puerto Rico,,,,
cyanopleurus,3.630161001,0.413447859,0.073949884,-0.506549254,GB,Cuba,,,,
cybotes,4.210982161,0.905454434,-0.262630999,0.684678636,TG,Hispaniola,,,,
darlingtoni,4.302036009,1.718720076,-1.690079016,1.021456747,TW,Hispaniola,,,,
distichus,3.928795837,1.973200862,-1.608003643,0.914614999,T,Hispaniola,,,,
dolichocephalus,3.908550316,0.739483022,-0.989799476,1.091913655,GB,Hispaniola,,,,
equestris,5.113993807,1.08056618,-1.266611407,0.667302603,CG,Cuba,,,,
etheridgei,3.657990601,0.848149691,-0.960258609,0.18291181,U,Hispaniola,,,,
eugenegrahami,4.128504414,2.155800992,-2.494661307,1.11438687,U,Hispaniola,,,,
evermanni,4.165605231,1.871367582,-2.029729624,1.028775113,TC,Puerto Rico,,,,
fowleri,4.288779949,1.456935239,-1.448418148,0.07531334,U,Hispaniola,,,,
garmani,4.769473237,0.167791307,0.676756002,-0.694600797,CG,Puerto Rico,,,,
grahami,4.154274265,0.410642801,-0.117462571,0.702295893,TC,Puerto Rico,,,,
guafe,3.87745744,-0.13914555,-0.310434629,-0.504806103,TG,Cuba,,,,
guamuhaya,5.036952602,-0.137962568,0.119982369,0.042039866,U,Cuba,,,,
guazuma,3.76388385,-0.0151975,-0.020516523,0.086780213,TW,Cuba,,,,
gundlachi,4.18810472,-0.426336538,0.613014449,-0.693182616,TG,Puerto Rico,,,,
haetianus,4.316542212,0.721747833,-0.969190196,0.74101761,TG,Hispaniola,,,,
hendersoni,3.859834574,0.385454354,-0.713316425,-0.395979203,GB,Hispaniola,,,,
homolechis,4.032805981,-0.085375433,0.092602997,-0.081309035,TG,Cuba,,,,
imias,4.099687407,0.169425977,-0.410812337,0.196358003,TG,Cuba,,,,
inexpectatus,3.537438641,0.24466655,-0.307162858,0.069372862,GB,Cuba,,,,
insolitus,3.80047052,0.066715596,-0.290651288,0.072862399,TW,Hispaniola,,,,
isolepis,3.657087744,-0.194644197,0.001671326,0.162646592,TC,Cuba,,,,
jubar,3.952604971,2.1455822,-0.993730897,1.05775273,TG,Cuba,,,,
krugi,3.886500048,0.972494741,-0.371866585,1.461094697,GB,Puerto Rico,,,,
lineatopus,4.128611788,0.800931449,0.170290172,0.335557135,TG,Jamaica,,,,
longitibialis,4.242103429,2.537213358,-1.420542767,1.715629438,TG,Hispaniola,,,,
loysiana,3.701240244,2.153959487,-1.198967281,1.514224556,T,Cuba,,,,
lucius,4.198914766,0.126135253,0.545903248,-0.585057824,U,Cuba,,,,
luteogularis,5.101085197,0.194610912,0.713343825,-0.562221096,CG,Cuba,,,,
macilentus,3.715764783,0.868463721,-0.28788242,0.699463035,GB,Cuba,,,,
marcanoi,4.079484699,1.182343323,-0.167193617,0.582790036,TG,Hispaniola,,,,
marron,3.831810283,-2.149486418,2.413050748,-2.143782289,T,Hispaniola,,,,
mestrei,3.987147344,-0.228920131,0.820920959,-0.739295641,TG,Cuba,,,,
monticola,3.770613039,0.628989307,0.146877669,-0.440977523,U,Hispaniola,,,,
noblei,5.083472618,-0.97440659,1.602507741,-0.422288291,CG,Cuba,,,,
occultus,3.663048694,-1.19168698,1.215301402,0.0324486,TW,Puerto Rico,,,,
olssoni,3.79389884,-1.391771586,1.21022186,-0.291868939,GB,Hispaniola,,,,
opalinus,3.838376465,1.483021624,-0.908266532,0.726134826,TC,Jamaica,,,,
ophiolepis,3.637962029,0.354418772,0.053661422,-0.093895299,GB,Cuba,,,,
oporinus,3.845669505,0.573048475,-0.985921965,0.880252863,TC,Cuba,,,,
paternus,3.802961204,-0.299550789,0.846263466,-0.963110645,TW,Cuba,,,,
placidus,3.773967107,0.078986096,0.504242392,-0.404363249,TW,Hispaniola,,,,
poncensis,3.820377531,-0.289982852,0.510241609,-0.185439139,GB,Puerto Rico,,,,
porcatus,4.258990989,-0.07464666,0.148259194,-0.571784264,TC,Cuba,,,,
porcus,5.038034268,0.158971414,-0.350187677,0.459870648,U,Cuba,,,,
pulchellus,3.799022266,0.978157532,-0.810754596,1.392775293,GB,Puerto Rico,,,,
pumilis,3.46686027,0.459254083,-0.162682657,-0.476948194,U,Cuba,,,,
quadriocellifer,3.901619072,-0.257638879,0.462708058,-0.271279441,TG,Cuba,,,,
reconditus,4.482606994,0.260965443,-0.271697917,0.013671426,U,Jamaica,,,,
ricordii,5.013963084,-0.456651495,0.663302028,-0.646258371,CG,Hispaniola,,,,
rubribarbus,4.078469213,-0.427757376,0.48004445,-0.967426338,TG,Cuba,,,,
sagrei,4.067161768,-0.630433775,0.719312962,-1.222827638,TG,Cuba,,,,
semilineatus,3.696630586,-0.612226281,0.807322377,-0.829431606,GB,Hispaniola,,,,
sheplani,3.682924257,-0.431283305,0.321955192,-0.805532876,TW,Hispaniola,,,,
shrevei,3.983003234,0.257277082,0.029600473,0.394228848,TG,Hispaniola,,,,
singularis,4.057997494,1.592083294,-1.70105266,1.45313446,TC,Hispaniola,,,,
smallwoodi,5.035095592,-0.018317012,-0.36653114,1.591634408,CG,Cuba,,,,
strahmi,4.274271278,0.340077411,-0.690011247,2.111357201,TG,Hispaniola,,,,
stratulus,3.869880695,-0.314853533,0.515229477,-0.408287159,TC,Puerto Rico,,,,
valencienni,4.321524401,-0.088370075,0.465286788,-0.567548962,TW,Jamaica,,,,
vanidicus,3.62620586,-1.287008036,1.02303768,-0.675917459,GB,Cuba,,,,
vermiculatus,4.802849398,0.159291276,-0.024230945,-0.315755014,U,Cuba,,,,
websteri,3.916546094,0.025584758,0.12404445,0.117586419,T,Hispaniola,,,,
whitemani,4.097478535,-1.457775289,1.096071557,-0.873933332,TG,Hispaniola,,,,